fecha_(mes_año),inflación_total,límite_inferior_meta_inflación,meta_de_inflación,límite_superior_meta_inflación
enero 1991,"31,98",,22,
febrero 1991,"31,65",,22,
marzo 1991,"31,18",,22,
abril 1991,"31,16",,22,
mayo 1991,"31,49",,22,
junio 1991,31,,22,
julio 1991,"31,6",,22,
agosto 1991,"31,2",,22,
septiembre 1991,"30,01",,22,
octubre 1991,"29,25",,22,
noviembre 1991,"28,22",,22,
diciembre 1991,"26,82",,22,
enero 1992,"27,43",,22,
febrero 1992,"27,35",,22,
marzo 1992,"27,08",,22,
abril 1992,"27,15",,22,
mayo 1992,"27,3",,22,
junio 1992,"28,13",,22,
julio 1992,"28,36",,22,
agosto 1992,"27,7",,22,
septiembre 1992,"26,92",,22,
octubre 1992,"26,32",,22,
noviembre 1992,"25,7",,22,
diciembre 1992,"25,13",,22,
enero 1993,"24,82",,22,
febrero 1993,"24,71",,22,
marzo 1993,"24,18",,22,
abril 1993,"23,08",,22,
mayo 1993,"22,21",,22,
junio 1993,"21,38",,22,
julio 1993,"20,46",,22,
agosto 1993,"21,07",,22,
septiembre 1993,"21,43",,22,
octubre 1993,"21,69",,22,
noviembre 1993,"22,37",,22,
diciembre 1993,"22,6",,22,
enero 1994,"22,5",,19,
febrero 1994,"23,01",,19,
marzo 1994,"23,41",,19,
abril 1994,"23,94",,19,
mayo 1994,"23,86",,19,
junio 1994,"23,08",,19,
julio 1994,"22,69",,19,
agosto 1994,"22,35",,19,
septiembre 1994,"22,31",,19,
octubre 1994,"22,37",,19,
noviembre 1994,"22,16",,19,
diciembre 1994,"22,59",,19,
enero 1995,"21,04",,18,
febrero 1995,"20,86",,18,
marzo 1995,"21,33",,18,
abril 1995,"21,17",,18,
mayo 1995,"21,3",,18,
junio 1995,"21,66",,18,
julio 1995,"21,5",,18,
agosto 1995,"21,09",,18,
septiembre 1995,"20,79",,18,
octubre 1995,"20,52",,18,
noviembre 1995,"20,13",,18,
diciembre 1995,"19,46",,18,
enero 1996,"20,24",,17,
febrero 1996,"20,81",,17,
marzo 1996,"20,2",,17,
abril 1996,"19,9",,17,
mayo 1996,"19,78",,17,
junio 1996,"19,7",,17,
julio 1996,"20,57",,17,
agosto 1996,"21,13",,17,
septiembre 1996,"21,55",,17,
octubre 1996,"21,87",,17,
noviembre 1996,"21,88",,17,
diciembre 1996,"21,63",,17,
enero 1997,"20,62",,18,
febrero 1997,"19,58",,18,
marzo 1997,"18,93",,18,
abril 1997,"18,52",,18,
mayo 1997,"18,6",,18,
junio 1997,"18,67",,18,
julio 1997,"17,88",,18,
agosto 1997,"17,93",,18,
septiembre 1997,"18,01",,18,
octubre 1997,"17,8",,18,
noviembre 1997,"17,81",,18,
diciembre 1997,"17,68",,18,
enero 1998,"17,84",,16,
febrero 1998,"18,03",,16,
marzo 1998,"19,24",,16,
abril 1998,"20,74",,16,
mayo 1998,"20,67",,16,
junio 1998,"20,69",,16,
julio 1998,"20,27",,16,
agosto 1998,"18,94",,16,
septiembre 1998,"17,8",,16,
octubre 1998,"17,09",,16,
noviembre 1998,"16,35",,16,
diciembre 1998,"16,7",,16,
enero 1999,"17,1807",,15,
febrero 1999,"15,3811",,15,
marzo 1999,"13,51",,15,
abril 1999,"11,1705",,15,
mayo 1999,"9,9844",,15,
junio 1999,"8,9606",,15,
julio 1999,"8,7813",,15,
agosto 1999,"9,2835",,15,
septiembre 1999,"9,3287",,15,
octubre 1999,"9,3203",,15,
noviembre 1999,"9,6499",,15,
diciembre 1999,"9,2317",,15,
enero 2000,"8,2487",,10,
febrero 2000,"8,8914",,10,
marzo 2000,"9,7252",,10,
abril 2000,"9,9563",,10,
mayo 2000,"10,0031",,10,
junio 2000,"9,6754",,10,
julio 2000,"9,2918",,10,
agosto 2000,"9,0966",,10,
septiembre 2000,"9,2",,10,
octubre 2000,"8,9861",,10,
noviembre 2000,"8,8229",,10,
diciembre 2000,"8,7482",,10,
enero 2001,"8,4922",,8,
febrero 2001,"8,0583",,8,
marzo 2001,"7,8143",,8,
abril 2001,"7,9759",,8,
mayo 2001,"7,8654",,8,
junio 2001,"7,9298",,8,
julio 2001,"8,0895",,8,
agosto 2001,"8,0302",,8,
septiembre 2001,"7,9712",,8,
octubre 2001,"8,0059",,8,
noviembre 2001,"7,7782",,8,
diciembre 2001,"7,6464",,8,
enero 2002,"7,3748",,6,
febrero 2002,"6,7042",,6,
marzo 2002,"5,8915",,6,
abril 2002,"5,6481",,6,
mayo 2002,"5,8379",,6,
junio 2002,"6,2489",,6,
julio 2002,"6,1571",,6,
agosto 2002,"5,9811",,6,
septiembre 2002,"5,9696",,6,
octubre 2002,"6,3651",,6,
noviembre 2002,"7,0677",,6,
diciembre 2002,"6,9928",,6,
enero 2003,"7,3943",5,"5,5",6
febrero 2003,"7,2394",5,"5,5",6
marzo 2003,"7,6001",5,"5,5",6
abril 2003,"7,8481",5,"5,5",6
mayo 2003,"7,7314",5,"5,5",6
junio 2003,"7,2127",5,"5,5",6
julio 2003,"7,0351",5,"5,5",6
agosto 2003,"7,2645",5,"5,5",6
septiembre 2003,"7,1148",5,"5,5",6
octubre 2003,"6,5834",5,"5,5",6
noviembre 2003,"6,1287",5,"5,5",6
diciembre 2003,"6,4906",5,"5,5",6
enero 2004,"6,1875",5,"5,5",6
febrero 2004,"6,2809",5,"5,5",6
marzo 2004,"6,2148",5,"5,5",6
abril 2004,"5,4887",5,"5,5",6
mayo 2004,"5,3742",5,"5,5",6
junio 2004,"6,0681",5,"5,5",6
julio 2004,"6,1873",5,"5,5",6
agosto 2004,"5,8922",5,"5,5",6
septiembre 2004,"5,9726",5,"5,5",6
octubre 2004,"5,8983",5,"5,5",6
noviembre 2004,"5,8238",5,"5,5",6
diciembre 2004,"5,4975",5,"5,5",6
enero 2005,"5,4305","4,5",5,"5,5"
febrero 2005,"5,2461","4,5",5,"5,5"
marzo 2005,"5,0265","4,5",5,"5,5"
abril 2005,"5,0082","4,5",5,"5,5"
mayo 2005,"5,0365","4,5",5,"5,5"
junio 2005,"4,8251","4,5",5,"5,5"
julio 2005,"4,9085","4,5",5,"5,5"
agosto 2005,"4,8785","4,5",5,"5,5"
septiembre 2005,"5,0161","4,5",5,"5,5"
octubre 2005,"5,2682","4,5",5,"5,5"
noviembre 2005,"5,0966","4,5",5,"5,5"
diciembre 2005,"4,8549","4,5",5,"5,5"
enero 2006,"4,5631",4,"4,5",5
febrero 2006,"4,1856",4,"4,5",5
marzo 2006,"4,112",4,"4,5",5
abril 2006,"4,1214",4,"4,5",5
mayo 2006,"4,0384",4,"4,5",5
junio 2006,"3,9382",4,"4,5",5
julio 2006,"4,3169",4,"4,5",5
agosto 2006,"4,7245",4,"4,5",5
septiembre 2006,"4,5769",4,"4,5",5
octubre 2006,"4,1859",4,"4,5",5
noviembre 2006,"4,3136",4,"4,5",5
diciembre 2006,"4,4779",4,"4,5",5
enero 2007,"4,7118","3,5",4,"4,5"
febrero 2007,"5,2468","3,5",4,"4,5"
marzo 2007,"5,7805","3,5",4,"4,5"
abril 2007,"6,2563","3,5",4,"4,5"
mayo 2007,"6,2264","3,5",4,"4,5"
junio 2007,"6,0338","3,5",4,"4,5"
julio 2007,"5,7718","3,5",4,"4,5"
agosto 2007,"5,2178","3,5",4,"4,5"
septiembre 2007,"5,005","3,5",4,"4,5"
octubre 2007,"5,1633","3,5",4,"4,5"
noviembre 2007,"5,4121","3,5",4,"4,5"
diciembre 2007,"5,6941","3,5",4,"4,5"
enero 2008,"5,997","3,5",4,"4,5"
febrero 2008,"6,352","3,5",4,"4,5"
marzo 2008,"5,926","3,5",4,"4,5"
abril 2008,"5,728","3,5",4,"4,5"
mayo 2008,"6,3943","3,5",4,"4,5"
junio 2008,"7,1804","3,5",4,"4,5"
julio 2008,"7,5196","3,5",4,"4,5"
agosto 2008,"7,8693","3,5",4,"4,5"
septiembre 2008,"7,5737","3,5",4,"4,5"
octubre 2008,"7,9397","3,5",4,"4,5"
noviembre 2008,"7,7301","3,5",4,"4,5"
diciembre 2008,"7,6748","3,5",4,"4,5"
